level,dataset,tile,band,GT,TP,FP,FN,precision,recall,clean_GT,clean_TP,clean_FP,clean_FN,clean_precision,clean_recall,ordinary_GT,ordinary_TP,ordinary_FP,ordinary_FN,ordinary_precision,ordinary_recall,total_GT,total_TP,total_FP,total_FN,total_precision,total_recall
tile,denoised,zangetsu_lower_right_x27366_y6453,ALL,1568,1434,1161,134,0.5526011560693641,0.9145408163265306,1568,1434,1161,134,0.5526011560693641,0.9145408163265306,436,328,66,108,0.8324873096446701,0.7522935779816514,2004,1762,1227,242,0.5894948143191703,0.8792415169660679
tile,denoised,zangetsu_upper_left_x26342_y7477,ALL,1298,1147,964,151,0.5433443865466604,0.8836671802773498,1298,1147,964,151,0.5433443865466604,0.8836671802773498,575,394,63,181,0.862144420131291,0.6852173913043478,1873,1541,1027,332,0.6000778816199377,0.8227442605445809
tile,noisy,zangetsu_lower_right_x27366_y6453,ALL,1568,1455,869,113,0.6260757314974182,0.9279336734693877,1568,1455,869,113,0.6260757314974182,0.9279336734693877,436,316,85,120,0.7880299251870324,0.7247706422018348,2004,1771,954,233,0.649908256880734,0.8837325349301397
tile,noisy,zangetsu_upper_left_x26342_y7477,ALL,1298,1141,788,157,0.5914981855883877,0.8790446841294299,1298,1141,788,157,0.5914981855883877,0.8790446841294299,575,361,80,214,0.81859410430839,0.6278260869565218,1873,1502,868,371,0.6337552742616034,0.801922050186866
band_total,coadd,ALL,HSC-G,642,604,394,38,0.6052104208416834,0.940809968847352,642,604,394,38,0.6052104208416834,0.940809968847352,131,99,35,32,0.7388059701492538,0.7557251908396947,773,703,429,70,0.6210247349823321,0.9094437257438551
band_total,coadd,ALL,HSC-R,642,611,450,31,0.5758718190386428,0.9517133956386293,642,611,450,31,0.5758718190386428,0.9517133956386293,152,114,45,38,0.7169811320754716,0.75,794,725,495,69,0.5942622950819673,0.9130982367758187
band_total,coadd,ALL,HSC-I,623,579,315,44,0.6476510067114094,0.9293739967897271,623,579,315,44,0.6476510067114094,0.9293739967897271,171,142,33,29,0.8114285714285714,0.8304093567251462,794,721,348,73,0.6744621141253508,0.9080604534005038
band_total,coadd,ALL,HSC-Z,544,521,300,23,0.6345919610231425,0.9577205882352942,544,521,300,23,0.6345919610231425,0.9577205882352942,244,197,60,47,0.7665369649805448,0.8073770491803278,788,718,360,70,0.6660482374768089,0.9111675126903553
band_total,coadd,ALL,HSC-Y,415,376,207,39,0.6449399656946827,0.9060240963855422,415,376,207,39,0.6449399656946827,0.9060240963855422,313,258,35,55,0.8805460750853242,0.8242811501597445,728,634,242,94,0.723744292237443,0.8708791208791209
band_total,denoised,ALL,HSC-G,642,572,400,70,0.588477366255144,0.8909657320872274,642,572,400,70,0.588477366255144,0.8909657320872274,131,79,17,52,0.8229166666666666,0.6030534351145038,773,651,417,122,0.6095505617977528,0.8421733505821475
band_total,denoised,ALL,HSC-R,642,588,470,54,0.555765595463138,0.9158878504672897,642,588,470,54,0.555765595463138,0.9158878504672897,152,99,28,53,0.7795275590551181,0.6513157894736842,794,687,498,107,0.579746835443038,0.8652392947103275
band_total,denoised,ALL,HSC-I,623,575,470,48,0.5502392344497608,0.9229534510433387,623,575,470,48,0.5502392344497608,0.9229534510433387,171,115,14,56,0.8914728682170543,0.672514619883041,794,690,484,104,0.5877342419080068,0.8690176322418136
