tile,band,source_id,local_x,local_y,major,minor,angle_deg,area,large_center_only
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342184698,294.108822,152.375393,3.200260,1.812964,87.410201,18.227384,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342184699,300.708816,191.933976,14.688803,6.800803,59.444052,313.831463,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342184700,280.053138,381.516995,0.929934,0.809001,83.574454,2.363476,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342184701,300.152055,391.399635,4.484001,1.849290,13.989754,26.050767,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342184702,308.748467,322.403971,18.216064,7.418914,16.422101,424.565556,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342184703,348.667498,320.939248,0.615678,0.614345,20.212966,1.188272,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342184704,239.735321,328.839803,2.305912,0.981531,17.688319,7.110442,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342184705,188.397058,314.460313,0.943662,0.531930,7.204935,1.576961,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342184706,281.185246,160.471797,5.837293,2.660070,86.423747,48.781409,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342184707,215.562539,267.652915,3.664691,3.121579,-21.699722,35.938625,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342184708,327.049756,404.952645,4.097664,1.381630,-7.002283,17.785983,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342184709,342.839499,419.764797,1.697382,1.211151,79.864892,6.458444,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342184710,298.979597,352.265853,1.246853,0.995367,-31.258008,3.898958,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342184711,167.919435,320.392603,2.948466,2.173654,7.182194,20.134301,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342184712,203.978065,298.632677,1.099499,0.552998,-86.790905,1.910153,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342184713,326.363755,318.556600,1.152986,0.592668,-27.086142,2.146769,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342184714,353.941745,173.972070,4.246322,1.827639,86.121663,24.381098,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342184715,355.263245,177.452776,3.384123,0.716223,64.123721,7.614553,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342184716,324.042457,339.185488,1.252363,0.545391,5.640508,2.145793,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342184717,314.695610,337.325138,1.640919,1.268535,8.566568,6.539421,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342184718,314.843736,302.939450,2.107469,0.759809,36.546267,5.030551,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342184719,198.196713,279.943819,2.789935,1.952914,-12.672425,17.116976,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342184720,283.457055,396.811522,1.845451,1.254395,48.938722,7.272553,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342184721,253.399341,315.431718,2.008998,1.275853,58.641540,8.052486,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342184722,218.366341,333.547299,4.304511,1.790109,31.203782,24.207686,0
